Dataset,Group,Model,Category,TNNT-Category,Possible,Actual,Wrong,Total,Error,Precision,Recall,Fm__PR,Fm_2PR,Fm_P2R,Undergeneration,Overgeneration,Substitution
"BTC","ss4","flair_pooled_model","MISC","tnnt:NPLLE",172,172,172.00,172,1.000000,0.000000,0.000000,-1.000000,-1.000000,-1.000000,0.000000,0.000000,0.000000
"BTC","ss4","allennlp_ner","MISC","tnnt:NPLLE",456,456,456.00,456,1.000000,0.000000,0.000000,-1.000000,-1.000000,-1.000000,0.000000,0.000000,0.000000
"BTC","ss4","stanford_class4_model","ORGANIZATION","tnnt:Organisation",3664,1961,3360.50,4201,0.799929,0.428608,0.229394,0.298844,0.365181,0.252904,0.611354,0.273840,0.590239
"BTC","bs3","stanford_class3_model","ORGANIZATION","tnnt:Organisation",3887,963,3484.00,4041,0.862163,0.578401,0.143298,0.229691,0.359866,0.168675,0.791870,0.159917,0.688504
"BTC","gs18","stanza_model","ORG","tnnt:Organisation",3068,1630,2667.50,3466,0.769619,0.489877,0.260267,0.339932,0.416406,0.287189,0.598435,0.244172,0.648133
"BTC","gs18","spacy_md_model","PERSON","tnnt:Person",4517,3453,3783.50,5511,0.686536,0.500290,0.382444,0.433501,0.471248,0.401352,0.455612,0.287866,0.702521
"BTC","gs18","spacy_lg_model","PERSON","tnnt:Person",4142,2877,3274.50,4871,0.672244,0.554918,0.385442,0.454908,0.510064,0.410517,0.481410,0.253389,0.743250
"BTC","gs18","flair_fast_ontonotes_model","ORG","tnnt:Organisation",3191,1549,2763.00,3549,0.778529,0.507424,0.246318,0.331646,0.418664,0.274576,0.626763,0.231117,0.659950
"BTC","ss4","allennlp_ner","ORG","tnnt:Organisation",2741,1335,2281.00,3013,0.757053,0.548315,0.267056,0.359176,0.452914,0.297585,0.612185,0.203745,0.688617
"BTC","bs3","polyglot_model","ORG","tnnt:Organisation",2139,1216,1897.00,2444,0.776187,0.449836,0.255727,0.326080,0.390547,0.279881,0.574100,0.250822,0.600439
"BTC","sc7","stanford_class7_model","ORGANIZATION","tnnt:Organisation",4124,1362,3702.00,4360,0.849083,0.483113,0.159554,0.239883,0.343711,0.184231,0.726964,0.173275,0.584369
"BTC","ss4","stanford_class4_model","PERSON","tnnt:Person",6736,1792,5802.00,7008,0.827911,0.672991,0.179038,0.282833,0.433688,0.209841,0.774347,0.151786,0.793421
"BTC","gs18","spacy_sm_model","GPE","tnnt:GPE",423,423,423.00,423,1.000000,0.000000,0.000000,-1.000000,-1.000000,-1.000000,0.000000,0.000000,0.000000
"BTC","gs18","spacy_md_model","GPE","tnnt:GPE",483,483,483.00,483,1.000000,0.000000,0.000000,-1.000000,-1.000000,-1.000000,0.000000,0.000000,0.000000
"BTC","nl5","nltk_model","ORGANIZATION","tnnt:Organisation",3330,2822,3312.50,4238,0.781619,0.327959,0.277928,0.300878,0.316562,0.286675,0.425225,0.321758,0.483542
"BTC","nl5","nltk_model","FACILITY","tnnt:FO",1445,37,1443.50,1453,0.993462,0.256757,0.006574,0.012821,0.029818,0.008166,0.979931,0.216216,0.327586
"BTC","nl5","nltk_model","GPE","tnnt:GPE",524,524,524.00,524,1.000000,0.000000,0.000000,-1.000000,-1.000000,-1.000000,0.000000,0.000000,0.000000
"BTC","ss4","bert_model","ORG","tnnt:Organisation",2977,2725,2516.00,3659,0.687620,0.419450,0.383944,0.400912,0.411833,0.390556,0.313739,0.250275,0.559471
"BTC","gs18","flair_ontonotes_model","GPE","tnnt:GPE",433,433,433.00,433,1.000000,0.000000,0.000000,-1.000000,-1.000000,-1.000000,0.000000,0.000000,0.000000
"BTC","ss4","flair_model","LOC","tnnt:FGL",1781,885,1200.50,1853,0.647868,0.737288,0.366367,0.489497,0.613137,0.407354,0.543515,0.081356,0.802583
"BTC","ss4","flair_fast_model","LOC","tnnt:FGL",1941,910,1399.00,2040,0.685784,0.704396,0.330242,0.449667,0.574270,0.369495,0.582174,0.108791,0.790382
"BTC","ss4","flair_pooled_model","PER","tnnt:Person",6331,1634,5280.50,6522,0.809644,0.759792,0.196099,0.311739,0.482436,0.230266,0.772074,0.116891,0.860360
"BTC","ss4","bert_model","PER","tnnt:Person",4622,1851,3275.00,4785,0.684431,0.815775,0.326698,0.466553,0.627806,0.371208,0.634790,0.088061,0.894550
"BTC","gs18","flair_ontonotes_model","PERSON","tnnt:Person",5977,1745,4806.00,6135,0.783374,0.761605,0.222352,0.344211,0.512850,0.259034,0.734482,0.090544,0.837429
"BTC","gs18","flair_fast_ontonotes_model","PERSON","tnnt:Person",5631,1843,4412.50,5789,0.762221,0.746880,0.244450,0.368344,0.529301,0.282452,0.700764,0.085730,0.816914
"BTC","ss4","allennlp_ner","PER","tnnt:Person",5613,2943,4714.00,6423,0.733925,0.580700,0.304472,0.399486,0.491516,0.336484,0.619989,0.275229,0.801219
"BTC","bs3","polyglot_model","PER","tnnt:Person",3960,2510,3084.00,4562,0.676019,0.588845,0.373232,0.456878,0.527857,0.402725,0.518182,0.239841,0.774633
"BTC","gs18","stanza_model","GPE","tnnt:GPE",504,504,504.00,504,1.000000,0.000000,0.000000,-1.000000,-1.000000,-1.000000,0.000000,0.000000,0.000000
"BTC","ss4","flair_pooled_model","LOC","tnnt:FGL",1876,747,1350.50,1935,0.697933,0.782463,0.311567,0.445673,0.600843,0.354199,0.633262,0.078983,0.849564
"BTC","nl5","nltk_model","LOCATION","tnnt:Location",1175,37,1148.00,1175,0.977021,0.729730,0.022979,0.044554,0.102041,0.028499,0.968511,0.000000,0.729730
"BTC","gs18","spacy_lg_model","NORP","tnnt:NORP",94,94,94.00,94,1.000000,0.000000,0.000000,-1.000000,-1.000000,-1.000000,0.000000,0.000000,0.000000
"BTC","gs18","flair_fast_ontonotes_model","LOC","tnnt:Location",1642,101,1571.50,1649,0.953002,0.767327,0.047199,0.088927,0.189394,0.058105,0.942753,0.069307,0.824468
"BTC","bs3","stanford_class3_model","PERSON","tnnt:Person",7297,1338,6314.00,7388,0.854629,0.802691,0.147184,0.248755,0.424539,0.175916,0.829108,0.068012,0.861267
