Dataset,Group,Model,Category,TNNT-Category,Possible,Actual,Wrong,Total,Error,Precision,Recall,Fm__PR,Fm_2PR,Fm_P2R,Undergeneration,Overgeneration,Substitution
"feng","gs18","spacy_sm_model","LOC","tnnt:Location",324,324,324.00,324,1.000000,0.000000,0.000000,-1.000000,-1.000000,-1.000000,0.000000,0.000000,0.000000
"feng","gs18","spacy_sm_model","PRODUCT","tnnt:Product",420,195,478.50,495,0.966667,0.084615,0.039286,0.053659,0.068750,0.044000,0.714286,0.384615,0.137500
"feng","gs18","spacy_sm_model","WORK_OF_ART","tnnt:WorkOfArt",442,235,483.00,535,0.902804,0.221277,0.117647,0.153619,0.188133,0.129805,0.678733,0.395745,0.366197
"feng","gs18","spacy_md_model","NORP","tnnt:NORP",818,810,585.50,936,0.625534,0.432716,0.428484,0.430590,0.431863,0.429324,0.154034,0.145679,0.506503
"feng","gs18","spacy_sm_model","DATE","tnnt:Date",6457,3440,4459.50,6602,0.675477,0.622820,0.331810,0.432959,0.529876,0.366014,0.489701,0.042151,0.650228
"feng","gs18","spacy_md_model","FAC","tnnt:FAC",623,300,681.50,726,0.938705,0.148333,0.071429,0.096425,0.122052,0.079692,0.683788,0.343333,0.225888
"feng","gs18","spacy_md_model","LOC","tnnt:Location",292,292,292.00,292,1.000000,0.000000,0.000000,-1.000000,-1.000000,-1.000000,0.000000,0.000000,0.000000
"feng","gs18","spacy_md_model","DATE","tnnt:Date",7504,3459,5498.00,7647,0.718975,0.621278,0.286381,0.392046,0.503515,0.320986,0.558102,0.041341,0.648070
"feng","gs18","spacy_lg_model","NORP","tnnt:NORP",770,751,534.00,877,0.608894,0.456724,0.445455,0.451019,0.454425,0.447664,0.163636,0.142477,0.532609
"feng","gs18","spacy_lg_model","LOC","tnnt:Location",368,368,368.00,368,1.000000,0.000000,0.000000,-1.000000,-1.000000,-1.000000,0.000000,0.000000,0.000000
"feng","gs18","spacy_sm_model","FAC","tnnt:FAC",525,381,627.50,681,0.921439,0.140420,0.101905,0.118102,0.130551,0.107819,0.571429,0.409449,0.237778
"feng","gs18","spacy_sm_model","NORP","tnnt:NORP",757,723,602.00,903,0.666667,0.416321,0.397622,0.406757,0.412442,0.401226,0.237781,0.201936,0.521664
"feng","gs18","spacy_sm_model","CARDINAL","tnnt:Cardinal",129,129,129.00,129,1.000000,0.000000,0.000000,-1.000000,-1.000000,-1.000000,0.000000,0.000000,0.000000
"feng","gs18","spacy_lg_model","FAC","tnnt:FAC",713,413,815.50,869,0.938435,0.129540,0.075035,0.095027,0.113108,0.081930,0.639551,0.377724,0.208171
"feng","gs18","spacy_md_model","ORDINAL","tnnt:Ordinal",45,45,45.00,45,1.000000,0.000000,0.000000,-1.000000,-1.000000,-1.000000,0.000000,0.000000,0.000000
"feng","gs18","spacy_md_model","CARDINAL","tnnt:Cardinal",139,139,139.00,139,1.000000,0.000000,0.000000,-1.000000,-1.000000,-1.000000,0.000000,0.000000,0.000000
"feng","gs18","spacy_md_model","WORK_OF_ART","tnnt:WorkOfArt",560,218,595.50,644,0.924689,0.222477,0.086607,0.124679,0.169344,0.098657,0.760714,0.385321,0.361940
"feng","gs18","spacy_md_model","LAW","tnnt:Law",480,90,495.50,516,0.960271,0.227778,0.042708,0.071930,0.122024,0.050995,0.887500,0.400000,0.379630
"feng","gs18","spacy_lg_model","LAW","tnnt:Law",504,79,513.00,535,0.958879,0.278481,0.043651,0.075472,0.134146,0.052506,0.904762,0.392405,0.458333
"feng","gs18","spacy_lg_model","DATE","tnnt:Date",7505,3413,5527.00,7655,0.722012,0.623498,0.283544,0.389815,0.502907,0.318248,0.565223,0.043950,0.652161
"feng","gs18","spacy_md_model","PRODUCT","tnnt:Product",521,166,572.00,592,0.966216,0.120482,0.038388,0.058224,0.084388,0.044444,0.817658,0.427711,0.210526
"feng","gs18","spacy_md_model","EVENT","tnnt:Event",391,344,402.00,512,0.785156,0.319767,0.281330,0.299320,0.311262,0.288260,0.429668,0.351744,0.493274
"feng","gs18","spacy_sm_model","EVENT","tnnt:Event",355,297,389.00,477,0.815514,0.296296,0.247887,0.269939,0.285159,0.256261,0.507042,0.410774,0.502857
"feng","gs18","spacy_lg_model","EVENT","tnnt:Event",446,329,450.50,557,0.808797,0.323708,0.238789,0.274839,0.302213,0.252011,0.511211,0.337386,0.488532
"feng","gs18","spacy_lg_model","QUANTITY","tnnt:Quantity",15,15,15.00,15,1.000000,0.000000,0.000000,-1.000000,-1.000000,-1.000000,0.000000,0.000000,0.000000
